,Prop_ID,Name,Address,DogRuns_Type,Acres,Category,ZipCode,Borough
0,X002,Bronx Park Off-Leash Area,Unionport & Sagamore on Bronx Park East to 233rd Street,Off-Leash,718.3729858,Large Park,10462,Bronx
1,X008,Claremont Park Off-Leash Area,,Off-Leash,38.5359993,Large Park,10457,Bronx
2,X010,Crotona Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,127.5,Large Park,10457,Bronx
3,X019,Ewen Park Dog Run,"Riverdale to Johnson avenues, south of West 232nd Street",Run,7.84000015,Large Park,10463,Bronx
4,X110A,Frank S. Hackett Park Dog Run,Riverdale Avenue at Henry Hudson Parkway,Run,1,Small Park,10471,Bronx
5,X047,Franz Sigel Park Dog Run,"Center of the park, just north of the ballfields which would line up with around 155th Street.",Run,15.98999977,Large Park,10451,Bronx
6,X080,Henry Hudson Park Off-Leash Area,Kappock Street and Independence Avenue,Off-Leash,8.97200012,Large Park,10463,Bronx
7,X015,Joseph Rodham Drake Park Off-Leash Area,,Off-Leash,2.49000001,Small Park,10474,Bronx
8,X034,Mullaly Park Off-Leash Area,,Off-Leash,15.04899979,Large Park,10452,Bronx
9,X039,Pelham Bay Park Off-Leash Area,"Middletown Road & Stadium Avenue, northwest of parking lot.",Off-Leash,2771.74707,Large Park,10465,Bronx
10,X201,Seton Park Dog Run,West 232nd Street & Independence Avenue,Run,11.68900013,Large Park,10463,Bronx
11,X010A,Tremont Park Off-Leash Area,"Except for playgrounds and other areas where dogs are expressly prohibited via signage, all areas of the park are off-leash during designated hours.",Off-Leash,15,Large Park,10457,Bronx
12,X092,Van Cortlandt Park: Canine Court,Broadway and 252 Street,Run,1146.430054,Large Park,10471,Bronx
13,X104,Williamsbridge Oval Dog Run,3225 Reservoir Oval East,Run,19.74900055,Large Park,10467,Bronx
14,B080,Asser Levy Park Off-Leash Area,"Surf Avenue, Sea Breeze Avenue, West 5th Street, Ocean Parkway",Off-Leash,21.03899956,Large Park,11224,Brooklyn
15,B247,Breukelen Park Off-Leash Area,All areas excluding the playground and ballfields,Off-Leash,16.15999985,Large Park,11207,Brooklyn
16,B431,Brooklyn Bridge Park Dog Run,Pier 6,Run,21.37700081,Large Park,11201,Brooklyn
17,B113A,Brooklyn War Memorial Off-Leash Area,"Cadman Plaza Park, Cadman Plaza West & East & Prospect Street ",Off-Leash,10.38399982,Large Park,11201,Brooklyn
18,B018,Canarsie Park Off-Leash Area,"All areas excluding the playground, ballfields, and Natural Areas.",Off-Leash,132.199997,Large Park,11236,Brooklyn
19,B223B,DiMattina Park Dog Run,Hicks & Woodhull streets,Run,0.51999998,Small Park,11231,Brooklyn
20,B028,Dyker Beach Park Dog Run,7th Avenue and 86th Street,Run,216.6549988,Large Park,11228,Brooklyn
21,B028,Dyker Beach Park Off-Leash Area,"Cropsey Avenue, Bay 8th Street, and Poly Place",Off-Leash,216.6549988,Large Park,11228,Brooklyn
22,B032,Fort Greene Park Off-Leash Area,"All areas excluding the playgrounds, tennis courts, and lawns with posted signs.",Off-Leash,30.16799927,Large Park,"11201, 11205",Brooklyn
23,B372,Friends Field Park Off-Leash Area,"East 4th Street, Avenue L, and McDonald Avenue",Off-Leash,6.69999981,Large Park,11230,Brooklyn
24,B038,Fulton Park Off-Leash Area,,Off-Leash,1.98699999,Small Park,11233,Brooklyn
25,B401,Grand Ferry Park Off-Leash Area,,Off-Leash,1.70000005,Small Park,11211,Brooklyn
26,B088,Herbert Von King Park Dog Run,Marcy Avenue & Lafayette Avenue,Run,7.81899977,Large Park,11216,Brooklyn
27,B223G,Hillside Park Dog Run,Columbia Heights & Middagh Street,Run,1.37100005,Small Park,11201,Brooklyn
28,B111A,Washington Park Dog Run,"3rd to 4th streets, 4th to 5th avenues",Run,1.54900002,Small Park,11215,Brooklyn
29,B035,John Paul Jones Park Off-Leash Area,4th Avenue and 101st Street ,Off-Leash,5.31699991,Small Park,11209,Brooklyn
30,B129,Kaiser Park Off-Leash Area,"Neptune Avenue between West 24th Street & Bayview Avenue, Coney Island Creek",Off-Leash,26.25699997,Large Park,11224,Brooklyn
31,B052,Leif Ericson Park Off-Leash Area,67th Street between 6th Avenue and 7th Avenue,Off-Leash,16.79999924,Large Park,11220,Brooklyn
32,B054,Lincoln Terrace Park Off-Leash Area,Eastern Parkway between Buffalo and Rochester avenues,Off-Leash,17.13999939,Large Park,11213,Brooklyn
33,B223S,Macri Square Park Off-Leash Area,Union Turnpike and Metropolitan Avenue,Off-Leash,0.56999999,Small Park,11211,Brooklyn
